4.0308,-2.7901,-2.5182,-2.5182,6.9718,8.1502,-0.2278,-0.1746,-7.3395,-7.3395,-8.8256,-1.5019,-3.9218,2.8984,9.6856,9.6856,1.7315,-6.8413,3.0
3.6869,-3.4282,-8.2995,-1.3191,6.4468,7.3988,-0.086,-0.143,-0.5698,-6.5923,-7.774,-1.0883,-3.5265,3.5003,8.5126,7.7295,1.1492,-6.5601,3.0
0.9919,-0.9031,-2.3444,-0.523,1.9005,2.1874,-0.2511,-0.1844,-0.212,-2.1401,-2.3847,-0.468,-1.0097,1.039,2.4761,2.5165,0.3042,-1.8557,3.0
3.9983,-3.6865,-9.0465,-1.1305,7.6181,8.4104,-0.1363,-0.0458,-0.3883,-7.9795,-8.7287,-1.4498,-3.9286,3.7916,9.1535,8.7956,0.6128,-7.4626,3.0
5.4884,-5.3313,-12.9406,-1.7172,10.5364,11.5935,-0.1828,-0.0331,-0.3374,-10.8609,-12.1175,-1.6846,-5.3971,5.3901,12.9997,12.2658,1.3383,-10.4782,3.0
3.2463,-3.0979,-5.7722,-1.5713,5.5171,6.3518,-0.256,-0.2406,-0.1455,-5.8248,-6.8117,-1.2681,-3.2133,3.1212,5.8525,7.2764,1.1628,-5.4979,3.0
2.1237,-1.8708,-5.0216,-1.0052,3.9594,4.5951,-0.2551,-0.2787,-0.3805,-4.1374,-4.7048,-0.6847,-1.981,1.8337,5.0171,4.8145,0.2801,-4.1407,3.0
3.3096,-3.2472,-7.7304,-0.9935,6.2202,7.0558,-0.118,-0.1748,-0.5362,-6.5194,-7.2978,-1.014,-3.2117,3.275,8.0438,7.2302,0.9472,-6.3558,3.0
5.4148,-2.0793,-4.1294,-4.1294,8.8633,10.8036,-0.1978,-0.1354,-9.4121,-9.4121,-11.9553,-2.2192,-5.3062,2.2049,13.1828,13.1828,2.9556,-8.8627,3.0
5.9037,-5.5715,-13.7933,-2.1948,10.7809,12.0687,-0.1729,-0.0856,-0.1822,-11.4266,-12.8006,-1.876,-5.7995,5.624,13.8725,13.405,1.7576,-10.5653,3.0
3.9464,-2.8932,-2.4216,-2.4216,6.9043,8.096,-0.2101,-0.1767,-7.3512,-7.3512,-8.8627,-1.4325,-3.855,2.9871,9.6902,9.6902,1.8768,-6.9206,3.0
3.2106,-3.1942,-7.8889,-0.9804,6.2615,7.1359,-0.2957,-0.1115,-0.3904,-6.711,-7.4648,-1.0431,-3.2439,3.2836,7.9089,7.3737,1.0173,-6.4332,3.0
3.4966,-3.0666,-7.5767,-1.2185,6.3083,7.1015,-0.1777,-0.0968,-0.3962,-6.5768,-7.4831,-1.0176,-3.444,3.1275,7.5952,7.542,0.8506,-6.4463,3.0
0.9574,-0.7776,-2.2697,-0.456,1.7844,2.1479,-0.3162,-0.2564,-0.2381,-2.1139,-2.3789,-0.5152,-0.9679,0.9094,2.3987,2.2918,0.1933,-2.0965,3.0
2.2665,-2.1493,-5.2172,-0.8203,4.2355,4.8755,-0.2279,-0.145,-0.507,-4.3778,-5.0093,-0.6618,-2.2675,2.2283,5.4984,5.0116,0.4493,-4.2413,3.0
2.0644,-1.7055,-5.0037,-0.8403,3.9688,4.3399,-0.2943,-0.1837,-0.1593,-4.2055,-4.8255,-0.7482,-2.0157,1.8836,5.1155,4.8893,0.5659,-4.0213,3.0
5.8195,-5.3028,-13.5945,-2.0998,10.8871,12.2871,-0.1382,0.0147,-0.3464,-11.3247,-12.8633,-1.7889,-5.6131,5.4301,13.6596,13.124,1.8122,-10.9203,3.0
0.9707,-0.8297,-2.0792,-0.5012,1.7918,2.0823,-0.251,-0.2673,-0.4684,-1.8115,-2.165,-0.4864,-0.9998,0.902,2.3977,2.231,0.1298,-1.823,3.0
1.8204,-1.4666,-4.2219,-0.7563,3.3788,3.9142,-0.2057,-0.2104,-0.3133,-3.6729,-3.9577,-0.6135,-1.6156,1.6465,4.2861,4.0413,0.1989,-3.586,3.0
3.648,-3.4054,-8.4008,-1.2563,6.9195,7.5945,-0.1076,-0.0862,-0.4491,-7.2054,-8.0379,-1.0784,-3.5164,3.4849,8.3625,8.1721,0.8986,-7.0936,3.0
4.3306,-4.2003,-10.6618,-1.6177,8.3055,9.0997,-0.179,-0.1568,-0.251,-8.9424,-9.9045,-1.3882,-4.2223,4.2415,10.5987,10.35,1.3428,-8.1498,3.0
5.7164,-5.1891,-12.9417,-2.1553,10.6703,11.8482,-0.1634,0.0156,-0.4431,-10.8902,-12.464,-1.6471,-5.6379,5.4386,13.1451,12.4777,1.6267,-10.6008,3.0
3.1134,-2.7187,-7.1075,-1.0215,5.789,6.4595,-0.2205,-0.1141,-0.2782,-5.975,-6.6613,-0.8131,-3.0192,2.8115,7.2322,6.7847,0.7801,-6.0706,3.0
1.9451,-1.9902,-5.0326,-0.841,4.0231,4.6053,-0.3398,-0.2271,-0.3622,-4.1873,-4.5785,-0.7857,-2.0217,2.0336,5.0189,4.7482,0.4584,-4.0963,3.0
5.2055,-5.218,-12.1951,-1.8786,9.8571,11.0233,-0.1697,-0.0586,-0.4328,-10.316,-11.5055,-1.5641,-5.0922,5.3225,12.278,11.7578,1.3197,-9.9022,3.0
3.4669,-3.3741,-5.8951,-1.7995,5.8937,6.893,-0.2445,-0.1893,-0.1565,-6.3504,-7.4349,-1.2962,-3.4474,3.4804,5.9874,7.9601,1.2824,-5.8551,3.0
3.4607,-2.9504,-7.8746,-1.0962,6.3768,7.1387,-0.2339,-0.1287,-0.4004,-6.6105,-7.3587,-1.0627,-3.4067,2.9669,7.8843,7.6025,0.8148,-6.4305,3.0
2.0329,-10.9945,-12.1918,-5.7811,5.6403,13.5726,10.9021,12.5594,1.521,-0.0245,-0.1358,-0.0614,-13.5333,-1.9527,10.5638,5.6221,-5.9431,-13.9598,4.0
